Exercise_Name,muscle_gp
Dumbbell Raise,Shoulders
Palms-Down Dumbbell Wrist Curl Over A Bench,Forearms
One Arm Supinated Dumbbell Triceps Extension,Triceps
Stationary bike,Quadriceps
Dumbbell bent-over row,Middle Back
Barbell thruster,Quadriceps
Flutter Kicks,Glutes
Dumbbell sumo squat,Quadriceps
Barbell upright row,Shoulders
Superman,Lower Back
Straight-Arm Pulldown,Lats
Barbell stiff-legged deadlift,Hamstrings
Standing One-Arm Dumbbell Triceps Extension,Triceps
Smith machine bench press,Chest
Seated Side Lateral Raise,Shoulders
Dumbbell Lying Rear Lateral Raise,Shoulders
Dumbbell preacher curl,Biceps
Front Raise And Pullover,Chest
Dumbbell seated box jump,Quadriceps
Middle Back Shrug,Middle Back
Incline face-down bar front raise,Shoulders
Butt-Ups,Abdominals
Band Good Morning (Pull Through),Hamstrings
Bodyweight Reverse Lunge,Quadriceps
Seated One-Arm Dumbbell Palms-Down Wrist Curl,Forearms
Glute Kickback,Glutes
Treadmill jogging,Quadriceps
Plate Pinch,Forearms
Yates Row Reverse Grip,Middle Back
Linear Acceleration Wall Drill,Hamstrings
Reverse-grip bench press,Triceps
Leverage Decline Chest Press,Chest
Chain Handle Extension,Triceps
